protocol,packet_size,cpu,memory,label
TCP,313,0.0,88.3,normal
ICMP,308,0.0,88.3,normal
TCP,222,0.0,88.3,normal
UDP,494,0.0,88.3,normal
ICMP,355,0.0,88.3,normal
UDP,218,0.0,88.3,normal
ICMP,468,0.0,88.3,normal
TCP,53,0.0,88.3,normal
UDP,58,0.0,88.3,normal
ICMP,480,0.0,88.3,normal
UDP,108,0.0,88.3,normal
UDP,355,0.0,88.3,normal
UDP,221,0.0,88.1,normal
UDP,90,0.0,88.1,normal
UDP,78,0.0,88.1,normal
ICMP,433,0.0,88.1,normal
TCP,268,0.0,88.1,normal
ICMP,389,0.0,88.1,normal
UDP,126,0.0,88.1,normal
ICMP,468,0.0,88.1,normal
UDP,401,0.0,88.1,normal
TCP,205,0.0,88.1,normal
UDP,293,0.0,88.1,normal
UDP,486,0.0,88.1,normal
ICMP,479,0.0,88.1,normal
TCP,269,0.0,88.1,normal
TCP,331,0.0,88.1,normal
UDP,121,0.0,88.1,normal
UDP,200,0.0,88.1,normal
UDP,160,0.0,88.1,normal
UDP,52,0.0,88.1,normal
TCP,343,0.0,88.1,normal
TCP,50,0.0,88.1,normal
TCP,241,0.0,88.1,normal
TCP,197,0.0,88.1,normal
TCP,239,0.0,88.1,normal
ICMP,322,16.7,88.1,normal
ICMP,488,0.0,88.1,normal
TCP,232,0.0,88.1,normal
ICMP,433,0.0,88.1,normal
ICMP,499,0.0,88.1,normal
ICMP,110,0.0,88.1,normal
UDP,213,0.0,88.1,normal
UDP,160,0.0,88.1,normal
UDP,475,0.0,88.1,normal
ICMP,70,0.0,88.1,normal
UDP,204,0.0,88.1,normal
UDP,271,0.0,88.1,normal
UDP,82,0.0,88.1,normal
ICMP,302,0.0,88.1,normal
ICMP,469,0.0,88.1,normal
ICMP,180,0.0,88.1,normal
TCP,234,0.0,88.1,normal
UDP,307,0.0,88.1,normal
ICMP,173,25.0,88.1,normal
UDP,345,0.0,88.1,normal
UDP,493,0.0,88.1,normal
ICMP,118,0.0,88.1,normal
TCP,210,0.0,88.1,normal
TCP,51,0.0,88.1,normal
ICMP,262,0.0,88.1,normal
ICMP,182,0.0,88.1,normal
TCP,159,0.0,88.1,normal
UDP,392,50.0,88.1,normal
ICMP,198,0.0,88.1,normal
TCP,492,25.0,88.1,normal
ICMP,83,0.0,88.1,normal
TCP,341,0.0,88.1,normal
ICMP,231,0.0,88.1,normal
ICMP,500,0.0,88.1,normal
ICMP,442,0.0,88.1,normal
TCP,95,0.0,88.1,normal
TCP,247,0.0,88.1,normal
TCP,52,0.0,88.1,normal
UDP,447,0.0,88.1,normal
TCP,197,0.0,88.1,normal
UDP,451,0.0,88.1,normal
ICMP,345,0.0,88.1,normal
UDP,87,0.0,88.1,normal
ICMP,298,0.0,88.1,normal
TCP,343,0.0,88.1,normal
TCP,206,0.0,88.1,normal
UDP,339,0.0,88.1,normal
ICMP,495,0.0,88.1,normal
TCP,320,0.0,88.1,normal
UDP,316,0.0,88.1,normal
UDP,263,0.0,88.1,normal
UDP,408,0.0,88.1,normal
TCP,149,0.0,88.1,normal
UDP,221,0.0,88.1,normal
ICMP,318,0.0,88.1,normal
ICMP,407,0.0,88.1,normal
ICMP,447,0.0,88.1,normal
TCP,343,0.0,88.1,normal
TCP,374,0.0,88.1,normal
UDP,285,0.0,88.1,normal
ICMP,331,0.0,88.1,normal
ICMP,341,0.0,88.1,normal
UDP,80,0.0,88.1,normal
ICMP,467,0.0,88.1,normal
ICMP,295,0.0,88.1,normal
UDP,258,0.0,88.1,normal
TCP,64,0.0,88.1,normal
TCP,211,0.0,88.1,normal
UDP,421,0.0,88.1,normal
UDP,156,0.0,88.1,normal
ICMP,120,0.0,88.1,normal
ICMP,497,0.0,88.1,normal
TCP,369,0.0,88.1,normal
ICMP,255,0.0,88.1,normal
UDP,204,0.0,88.1,normal
UDP,98,0.0,88.1,normal
UDP,330,0.0,88.1,normal
ICMP,228,0.0,88.1,normal
TCP,156,0.0,88.1,normal
TCP,236,0.0,88.1,normal
UDP,429,0.0,88.1,normal
TCP,435,0.0,88.1,normal
TCP,281,0.0,88.1,normal
UDP,365,0.0,88.1,normal
ICMP,413,0.0,88.1,normal
UDP,146,25.0,88.1,normal
TCP,419,0.0,88.1,normal
UDP,136,0.0,88.1,normal
TCP,83,0.0,88.1,normal
TCP,240,0.0,88.1,normal
ICMP,180,0.0,88.1,normal
ICMP,305,0.0,88.1,normal
TCP,104,0.0,88.1,normal
TCP,150,0.0,88.1,normal
TCP,413,0.0,88.1,normal
UDP,324,0.0,88.1,normal
ICMP,92,0.0,88.1,normal
UDP,179,0.0,88.1,normal
ICMP,401,0.0,88.1,normal
UDP,444,0.0,88.1,normal
TCP,52,0.0,88.1,normal
ICMP,414,0.0,88.1,normal
ICMP,242,0.0,88.1,normal
TCP,286,0.0,88.1,normal
UDP,315,0.0,88.1,normal
TCP,387,0.0,88.1,normal
ICMP,212,0.0,88.1,normal
TCP,287,0.0,88.1,normal
TCP,452,0.0,88.1,normal
UDP,279,0.0,88.1,normal
TCP,102,0.0,88.1,normal
TCP,492,0.0,88.1,normal
ICMP,313,0.0,88.1,normal
ICMP,84,0.0,88.1,normal
UDP,51,0.0,88.1,normal
TCP,66,0.0,88.1,normal
ICMP,284,0.0,88.1,normal
ICMP,258,0.0,88.1,normal
TCP,461,0.0,88.1,normal
ICMP,145,0.0,88.1,normal
ICMP,356,0.0,88.1,normal
ICMP,199,0.0,88.1,normal
ICMP,147,0.0,88.1,normal
UDP,373,0.0,88.1,normal
ICMP,262,0.0,88.1,normal
ICMP,219,0.0,88.1,normal
TCP,395,0.0,88.1,normal
TCP,494,0.0,88.1,normal
UDP,324,0.0,88.1,normal
UDP,143,0.0,88.1,normal
TCP,272,0.0,88.1,normal
ICMP,201,0.0,88.1,normal
ICMP,191,0.0,88.1,normal
UDP,135,0.0,88.1,normal
TCP,390,0.0,88.1,normal
TCP,416,0.0,88.2,normal
TCP,80,0.0,88.2,normal
ICMP,111,0.0,88.2,normal
TCP,58,0.0,88.2,normal
ICMP,276,0.0,88.2,normal
TCP,100,0.0,88.2,normal
UDP,218,0.0,88.2,normal
UDP,51,0.0,88.2,normal
UDP,337,0.0,88.1,normal
ICMP,126,0.0,88.1,normal
UDP,248,0.0,88.1,normal
UDP,300,0.0,88.1,normal
ICMP,70,0.0,88.1,normal
ICMP,177,0.0,88.1,normal
TCP,384,0.0,88.1,normal
UDP,96,0.0,88.1,normal
TCP,309,0.0,88.1,normal
ICMP,68,0.0,88.1,normal
ICMP,353,0.0,88.1,normal
TCP,229,0.0,88.1,normal
ICMP,346,0.0,88.1,normal
UDP,396,0.0,88.1,normal
ICMP,371,0.0,88.1,normal
TCP,180,0.0,88.1,normal
TCP,72,0.0,88.1,normal
ICMP,299,0.0,88.1,normal
UDP,262,0.0,88.1,normal
UDP,140,0.0,88.1,normal
UDP,331,0.0,88.1,normal
ICMP,138,0.0,88.1,normal
UDP,103,25.0,88.1,normal
ICMP,482,0.0,88.1,normal
ICMP,382,50.0,88.1,normal
UDP,490,0.0,88.1,normal
UDP,252,0.0,88.1,normal
UDP,158,0.0,88.1,normal
UDP,296,0.0,88.1,normal
UDP,128,0.0,88.1,normal
UDP,204,0.0,88.1,normal
UDP,104,0.0,88.1,normal
UDP,144,0.0,88.1,normal
ICMP,395,0.0,88.1,normal
TCP,198,0.0,88.1,normal
ICMP,276,0.0,88.1,normal
TCP,234,0.0,88.1,normal
ICMP,162,0.0,88.1,normal
ICMP,170,0.0,88.1,normal
UDP,500,0.0,88.1,normal
UDP,459,0.0,88.1,normal
TCP,242,25.0,88.1,normal
ICMP,301,0.0,88.1,normal
UDP,380,0.0,88.1,normal
UDP,152,0.0,88.1,normal
ICMP,107,0.0,88.1,normal
UDP,148,0.0,88.1,normal
TCP,359,0.0,88.1,normal
ICMP,155,0.0,88.1,normal
UDP,451,0.0,88.1,normal
ICMP,352,0.0,88.1,normal
TCP,265,0.0,88.1,normal
UDP,116,0.0,88.1,normal
ICMP,254,0.0,88.1,normal
UDP,305,0.0,88.1,normal
ICMP,131,0.0,88.1,normal
UDP,181,0.0,88.1,normal
ICMP,87,0.0,88.1,normal
UDP,100,0.0,88.1,normal
TCP,225,0.0,88.1,normal
TCP,433,0.0,88.1,normal
UDP,418,0.0,88.1,normal
ICMP,495,0.0,88.1,normal
UDP,494,0.0,88.1,normal
UDP,278,0.0,88.1,normal
TCP,487,0.0,88.1,normal
ICMP,350,0.0,88.1,normal
UDP,275,0.0,88.1,normal
UDP,414,0.0,88.1,normal
ICMP,270,0.0,88.1,normal
UDP,314,0.0,88.1,normal
TCP,368,0.0,88.1,normal
ICMP,221,25.0,88.1,normal
TCP,350,0.0,88.1,normal
UDP,122,0.0,88.1,normal
ICMP,219,0.0,88.1,normal
ICMP,118,0.0,88.1,normal
ICMP,261,0.0,88.1,normal
ICMP,228,0.0,88.1,normal
TCP,382,0.0,88.1,normal
TCP,271,0.0,88.1,normal
TCP,355,0.0,88.1,normal
TCP,476,0.0,88.1,normal
UDP,480,0.0,88.1,normal
UDP,164,0.0,88.1,normal
TCP,161,0.0,88.1,normal
TCP,144,0.0,88.1,normal
TCP,381,0.0,88.1,normal
TCP,114,0.0,88.1,normal
TCP,276,0.0,88.1,normal
UDP,370,0.0,88.1,normal
ICMP,223,0.0,88.0,normal
TCP,327,0.0,88.0,normal
TCP,460,0.0,88.0,normal
UDP,314,0.0,88.0,normal
ICMP,181,0.0,88.0,normal
UDP,346,0.0,88.0,normal
UDP,54,0.0,88.0,normal
TCP,291,0.0,88.0,normal
TCP,164,0.0,88.0,normal
TCP,297,0.0,88.0,normal
UDP,411,0.0,88.0,normal
ICMP,89,0.0,88.0,normal
UDP,435,0.0,88.0,normal
ICMP,164,0.0,88.0,normal
UDP,250,0.0,88.0,normal
ICMP,230,0.0,88.0,normal
