protocol,packet_size,cpu,memory,label
TCP,816,0.0,88.4,data_integrity
TCP,490,0.0,88.4,data_integrity
TCP,809,0.0,88.4,data_integrity
TCP,83,0.0,88.4,data_integrity
TCP,138,0.0,88.4,data_integrity
TCP,855,0.0,88.4,data_integrity
TCP,506,0.0,88.4,data_integrity
TCP,859,0.0,88.4,data_integrity
TCP,537,0.0,88.4,data_integrity
TCP,289,0.0,88.4,data_integrity
TCP,189,0.0,88.4,data_integrity
TCP,822,0.0,88.4,data_integrity
TCP,230,0.0,88.4,data_integrity
TCP,981,0.0,88.4,data_integrity
TCP,604,0.0,88.4,data_integrity
TCP,992,0.0,88.4,data_integrity
TCP,653,0.0,88.4,data_integrity
TCP,831,0.0,88.4,data_integrity
TCP,714,33.3,88.4,data_integrity
TCP,539,0.0,88.4,data_integrity
TCP,863,0.0,88.4,data_integrity
TCP,262,0.0,88.4,data_integrity
TCP,947,0.0,88.4,data_integrity
TCP,175,0.0,88.4,data_integrity
TCP,242,0.0,88.4,data_integrity
TCP,884,0.0,88.4,data_integrity
TCP,227,0.0,88.4,data_integrity
TCP,676,0.0,88.3,data_integrity
TCP,563,0.0,88.3,data_integrity
TCP,539,0.0,88.3,data_integrity
TCP,849,0.0,88.3,data_integrity
TCP,227,0.0,88.3,data_integrity
TCP,392,0.0,88.3,data_integrity
TCP,915,0.0,88.3,data_integrity
TCP,473,0.0,88.4,data_integrity
TCP,281,0.0,88.4,data_integrity
TCP,313,0.0,88.4,data_integrity
TCP,835,0.0,88.4,data_integrity
TCP,510,0.0,88.4,data_integrity
TCP,284,0.0,88.4,data_integrity
TCP,918,0.0,88.4,data_integrity
TCP,264,25.0,88.4,data_integrity
TCP,739,25.0,88.4,data_integrity
TCP,242,0.0,88.4,data_integrity
TCP,522,0.0,88.4,data_integrity
TCP,414,50.0,88.4,data_integrity
TCP,739,0.0,88.4,data_integrity
TCP,891,0.0,88.4,data_integrity
TCP,554,0.0,88.4,data_integrity
TCP,504,25.0,88.4,data_integrity
TCP,872,0.0,88.4,data_integrity
TCP,546,0.0,88.4,data_integrity
TCP,175,0.0,88.4,data_integrity
TCP,79,0.0,88.4,data_integrity
TCP,880,0.0,88.4,data_integrity
TCP,668,0.0,88.4,data_integrity
TCP,886,0.0,88.4,data_integrity
TCP,458,0.0,88.4,data_integrity
TCP,880,0.0,88.4,data_integrity
TCP,197,0.0,88.4,data_integrity
TCP,599,0.0,88.4,data_integrity
TCP,87,0.0,88.5,data_integrity
TCP,250,0.0,88.5,data_integrity
TCP,683,0.0,88.5,data_integrity
TCP,416,25.0,88.5,data_integrity
TCP,696,25.0,88.5,data_integrity
TCP,666,0.0,88.5,data_integrity
TCP,604,0.0,88.5,data_integrity
TCP,790,0.0,88.5,data_integrity
TCP,589,25.0,88.7,data_integrity
TCP,568,40.0,88.7,data_integrity
TCP,94,0.0,88.7,data_integrity
TCP,625,25.0,88.7,data_integrity
TCP,490,25.0,88.7,data_integrity
TCP,565,0.0,88.7,data_integrity
TCP,501,50.0,88.7,data_integrity
TCP,69,0.0,88.7,data_integrity
TCP,282,0.0,88.6,data_integrity
TCP,843,0.0,88.7,data_integrity
TCP,155,0.0,88.7,data_integrity
TCP,106,0.0,88.7,data_integrity
TCP,384,25.0,88.7,data_integrity
TCP,546,0.0,88.7,data_integrity
TCP,644,0.0,88.7,data_integrity
TCP,291,0.0,88.7,data_integrity
TCP,269,0.0,88.7,data_integrity
TCP,663,0.0,88.7,data_integrity
TCP,898,0.0,88.7,data_integrity
TCP,766,0.0,88.7,data_integrity
TCP,633,0.0,88.7,data_integrity
TCP,731,0.0,88.7,data_integrity
TCP,297,0.0,88.7,data_integrity
TCP,760,0.0,88.7,data_integrity
TCP,681,0.0,88.7,data_integrity
TCP,555,0.0,88.7,data_integrity
TCP,277,0.0,88.7,data_integrity
TCP,528,0.0,88.7,data_integrity
TCP,726,0.0,88.7,data_integrity
TCP,961,0.0,88.7,data_integrity
TCP,203,0.0,88.7,data_integrity
TCP,412,0.0,88.7,data_integrity
TCP,212,0.0,88.7,data_integrity
TCP,972,0.0,88.7,data_integrity
TCP,430,0.0,88.7,data_integrity
TCP,990,0.0,88.7,data_integrity
TCP,297,0.0,88.7,data_integrity
TCP,266,0.0,88.7,data_integrity
TCP,227,0.0,88.7,data_integrity
TCP,307,0.0,88.7,data_integrity
TCP,426,0.0,88.7,data_integrity
TCP,757,0.0,88.7,data_integrity
TCP,391,0.0,88.7,data_integrity
TCP,278,0.0,88.7,data_integrity
TCP,518,0.0,88.7,data_integrity
TCP,859,0.0,88.7,data_integrity
TCP,655,0.0,88.7,data_integrity
TCP,455,0.0,88.7,data_integrity
TCP,571,0.0,88.7,data_integrity
TCP,403,0.0,88.7,data_integrity
TCP,704,0.0,88.7,data_integrity
TCP,41,0.0,88.7,data_integrity
TCP,184,0.0,88.7,data_integrity
TCP,313,0.0,88.7,data_integrity
TCP,576,0.0,88.7,data_integrity
TCP,519,0.0,88.7,data_integrity
TCP,207,0.0,88.7,data_integrity
TCP,674,0.0,88.7,data_integrity
TCP,703,0.0,88.7,data_integrity
