protocol,packet_size,cpu,memory,label
UDP,1237,0.0,88.0,ddos
UDP,1253,0.0,88.0,ddos
UDP,1343,0.0,88.0,ddos
UDP,1170,0.0,88.0,ddos
UDP,1169,0.0,88.0,ddos
UDP,1381,0.0,88.0,ddos
UDP,1020,0.0,88.0,ddos
UDP,1254,0.0,88.0,ddos
UDP,1188,0.0,88.0,ddos
UDP,1090,0.0,88.0,ddos
UDP,1175,0.0,88.0,ddos
UDP,1310,0.0,88.0,ddos
UDP,1161,0.0,88.0,ddos
UDP,1042,0.0,88.0,ddos
UDP,1165,0.0,88.0,ddos
UDP,1225,0.0,88.0,ddos
UDP,1449,0.0,88.0,ddos
UDP,1499,0.0,88.0,ddos
UDP,1219,0.0,88.0,ddos
UDP,1191,20.0,88.0,ddos
UDP,1182,0.0,88.0,ddos
UDP,1114,0.0,88.0,ddos
UDP,1243,0.0,88.0,ddos
UDP,1383,0.0,88.0,ddos
UDP,1428,0.0,88.0,ddos
UDP,1264,0.0,88.0,ddos
UDP,1091,0.0,88.0,ddos
UDP,1436,0.0,88.0,ddos
UDP,1403,0.0,88.0,ddos
UDP,1243,0.0,88.0,ddos
UDP,1195,0.0,88.0,ddos
UDP,1356,0.0,88.0,ddos
UDP,1007,0.0,88.0,ddos
UDP,1370,0.0,88.0,ddos
UDP,1194,0.0,88.0,ddos
UDP,1159,0.0,88.0,ddos
UDP,1191,0.0,88.0,ddos
UDP,1157,0.0,88.0,ddos
UDP,1020,0.0,88.0,ddos
UDP,1015,0.0,88.0,ddos
UDP,1097,0.0,88.0,ddos
UDP,1268,0.0,88.0,ddos
UDP,1253,0.0,88.0,ddos
UDP,1446,0.0,88.0,ddos
UDP,1241,0.0,88.0,ddos
UDP,1405,0.0,88.0,ddos
UDP,1122,0.0,88.0,ddos
UDP,1048,0.0,88.0,ddos
UDP,1045,0.0,88.0,ddos
UDP,1048,0.0,88.0,ddos
UDP,1420,0.0,88.0,ddos
UDP,1215,0.0,88.0,ddos
UDP,1159,0.0,88.0,ddos
UDP,1340,0.0,88.0,ddos
UDP,1091,0.0,88.0,ddos
UDP,1366,0.0,88.0,ddos
UDP,1331,0.0,88.0,ddos
UDP,1094,0.0,88.0,ddos
UDP,1116,0.0,88.0,ddos
UDP,1262,0.0,88.0,ddos
