"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.185","192.168.0.1","DNS","92","Standard query 0x770c A storeedgefd.dsx.mp.microsoft.com"
"2","0.011087","192.168.0.1","192.168.0.185","DNS","320","Standard query response 0x770c A storeedgefd.dsx.mp.microsoft.com CNAME storeedgefd.xbetservices.akadns.net CNAME storeedgefd.dsx.mp.microsoft.com.edgekey.net CNAME storeedgefd.dsx.mp.microsoft.com.edgekey.net.globalredir.akadns.net CNAME e16646.dscg.akamaiedge.net A 104.125.221.232"
"3","0.016907","192.168.0.185","104.125.221.232","TCP","66","53645  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.019565","104.125.221.232","192.168.0.185","TCP","66","443  >  53645 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"5","0.019685","192.168.0.185","104.125.221.232","TCP","54","53645  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"6","0.021940","192.168.0.185","104.125.221.232","TLSv1.2","251","Client Hello (SNI=storeedgefd.dsx.mp.microsoft.com)"
"7","0.024448","104.125.221.232","192.168.0.185","TCP","54","443  >  53645 [ACK] Seq=1 Ack=198 Win=64128 Len=0"
"8","0.025695","104.125.221.232","192.168.0.185","TLSv1.2","1494","Server Hello"
"9","0.025695","104.125.221.232","192.168.0.185","TCP","1494","443  >  53645 [PSH, ACK] Seq=1441 Ack=198 Win=64128 Len=1440 [TCP PDU reassembled in 10]"
"10","0.025695","104.125.221.232","192.168.0.185","TLSv1.2","1270","Certificate, Certificate Status"
"11","0.025869","192.168.0.185","104.125.221.232","TCP","54","53645  >  443 [ACK] Seq=198 Ack=4097 Win=132352 Len=0"
"12","0.025951","104.125.221.232","192.168.0.185","TLSv1.2","176","Server Key Exchange, Server Hello Done"
"13","0.026010","192.168.0.185","104.125.221.232","TCP","54","53645  >  443 [ACK] Seq=198 Ack=4219 Win=132352 Len=0"
"14","0.029912","192.168.0.185","104.125.221.232","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"15","0.037507","104.125.221.232","192.168.0.185","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"17","0.069845","192.168.0.185","104.125.221.232","TLSv1.2","343","Application Data"
"18","0.149210","104.125.221.232","192.168.0.185","TLSv1.2","1301","Application Data"
"19","0.190646","192.168.0.185","104.125.221.232","TCP","54","53645  >  443 [ACK] Seq=613 Ack=5740 Win=132352 Len=0"
"20","0.332598","192.168.0.185","148.113.9.58","TCP","55","53260  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"21","0.361682","148.113.9.58","192.168.0.185","TCP","54","443  >  53260 [ACK] Seq=0 Ack=2 Win=501 Len=0"
"22","0.361741","192.168.0.185","148.113.9.58","TCP","54","[TCP Dup ACK 20#1] [TCP ACKed unseen segment] 53260  >  443 [ACK] Seq=2 Ack=1 Win=514 Len=0"
"23","0.455169","148.113.9.58","192.168.0.185","TCP","66","[TCP Previous segment not captured] 443  >  53260 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"24","0.678519","192.168.0.185","192.168.0.215","TCP","164","53355  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=110 [TCP PDU reassembled in 2095]"
"25","0.690959","192.168.0.215","192.168.0.185","TCP","164","8009  >  53355 [PSH, ACK] Seq=1 Ack=111 Win=1253 Len=110 [TCP PDU reassembled in 2096]"
"26","0.741903","192.168.0.185","142.251.221.110","UDP","71","62001  >  443 Len=29"
"27","0.743084","192.168.0.185","192.168.0.215","TCP","54","53355  >  8009 [ACK] Seq=111 Ack=111 Win=509 Len=0"
"28","0.755668","142.251.221.110","192.168.0.185","UDP","68","443  >  62001 Len=26"
"29","1.355225","192.168.0.185","142.251.221.170","UDP","71","57261  >  443 Len=29"
"30","1.368190","142.251.221.170","192.168.0.185","UDP","67","443  >  57261 Len=25"
"31","1.880242","192.168.0.185","104.125.221.232","TLSv1.2","384","Application Data"
"32","1.880997","192.168.0.185","104.125.221.232","TLSv1.2","317","Application Data"
"33","1.889180","104.125.221.232","192.168.0.185","TCP","54","443  >  53645 [ACK] Seq=5740 Ack=1206 Win=64128 Len=0"
"34","1.896734","104.125.221.232","192.168.0.185","TLSv1.2","711","Application Data"
"35","1.949323","192.168.0.185","104.125.221.232","TCP","54","53645  >  443 [ACK] Seq=1206 Ack=6397 Win=131584 Len=0"
"36","1.999771","192.168.0.185","104.125.221.232","TCP","54","53645  >  443 [RST, ACK] Seq=1206 Ack=6397 Win=0 Len=0"
"37","2.450406","192.168.0.185","64.233.170.188","TCP","55","53286  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"38","2.545497","192.168.0.185","104.125.221.232","TCP","66","53646  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"39","2.556920","64.233.170.188","192.168.0.185","TCP","66","5228  >  53286 [ACK] Seq=1 Ack=2 Win=1046 Len=0 SLE=1 SRE=2"
"40","2.556920","104.125.221.232","192.168.0.185","TCP","66","443  >  53646 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=128"
"41","2.557137","192.168.0.185","104.125.221.232","TCP","54","53646  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"42","2.559713","192.168.0.185","104.125.221.232","TLSv1.2","251","Client Hello (SNI=storeedgefd.dsx.mp.microsoft.com)"
"43","2.562620","104.125.221.232","192.168.0.185","TCP","54","443  >  53646 [ACK] Seq=1 Ack=198 Win=64128 Len=0"
"44","2.563060","104.125.221.232","192.168.0.185","TLSv1.2","1494","Server Hello"
"45","2.563060","104.125.221.232","192.168.0.185","TCP","1494","443  >  53646 [PSH, ACK] Seq=1441 Ack=198 Win=64128 Len=1440 [TCP PDU reassembled in 46]"
"46","2.563060","104.125.221.232","192.168.0.185","TLSv1.2","1270","Certificate, Certificate Status"
"47","2.563060","104.125.221.232","192.168.0.185","TLSv1.2","177","Server Key Exchange, Server Hello Done"
"48","2.563164","192.168.0.185","104.125.221.232","TCP","54","53646  >  443 [ACK] Seq=198 Ack=4220 Win=132352 Len=0"
"49","2.567182","192.168.0.185","104.125.221.232","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"50","2.569962","104.125.221.232","192.168.0.185","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"51","2.597111","192.168.0.185","104.125.221.232","TLSv1.2","343","Application Data"
"52","2.604225","104.125.221.232","192.168.0.185","TLSv1.2","1301","Application Data"
"53","2.653861","192.168.0.185","104.125.221.232","TCP","54","53646  >  443 [ACK] Seq=613 Ack=5741 Win=132352 Len=0"
"54","2.872754","192.168.0.185","52.123.171.42","TLSv1.2","104","Application Data"
